序号,简体,繁体,异体,日文
126,从,從,从,従
127,今,今,㐭,今
128,凶,凶,兇,凶
129,分,分,份,分
130,乏,乏,泛,乏
131,公,公,㒶,公
132,仓,倉,仓,倉
133,月,月,刖,月
134,氏,氏,㕜,氏
135,勿,勿,毋,勿
136,欠,欠,歉,欠
137,风,風,风,風
138,丹,丹,㕣,丹
139,匀,勻,均,匀
140,乌,烏,乌,烏
141,勾,勾,句,勾
142,凤,鳳,凤,鳳
143,六,六,陆,六
144,文,文,㐺,文
145,方,方,㕡,方
146,火,火,灬,火
147,为,為,爲,為
148,斗,鬥,斗,闘
149,忆,憶,忆,憶
150,订,訂,订,訂
151,计,計,计,計
152,认,認,认,認
153,心,心,忄,心
154,尺,尺,呎,尺
155,引,引,㕡,引
156,丑,醜,丑,醜
157,巴,巴,笆,巴
158,孔,孔,㕤,孔
159,队,隊,队,隊
160,办,辦,办,弁
161,以,以,㕥,以
162,允,允,㕣,允
163,予,予,㕕,予
164,劝,勸,劝,勧
165,双,雙,双,双
166,书,書,书,書
167,幻,幻,㕥,幻
168,玉,玉,王,玉
169,刊,刊,栞,刊
170,未,未,末,未
171,末,末,沫,末
172,示,示,㕜,示
173,击,擊,击,撃
174,打,打,㧵,打
175,巧,巧,㕂,巧
176,正,正,政,正
177,扑,撲,扑,撲
178,扒,扒,爬,扒
179,功,功,㓛,功
180,扔,扔,㧨,扔
181,去,去,㕸,去
182,甘,甘,柑,甘
183,世,世,㕜,世
184,古,古,㕥,古
185,节,節,节,節
186,本,本,夲,本
187,术,術,术,術
188,可,可,㕘,可
189,丙,丙,㕣,丙
190,左,左,㕂,左
191,厉,厲,厉,厲
192,石,石,䂖,石
193,右,右,㕛,右
194,布,布,佈,布
195,夯,夯,㧚,夯
196,龙,龍,龙,竜
197,平,平,㕣,平
198,灭,滅,灭,滅
199,轧,軋,轧,軋
200,东,東,东,東
201,卡,卡,㧚,卡
202,北,北,背,北
203,占,占,佔,占
204,业,業,业,業
205,旧,舊,旧,旧
206,帅,帥,帅,帥
207,归,歸,归,帰
208,且,且,㕘,且
209,旦,旦,㕜,旦
210,目,目,㕕,目
211,叶,葉,叶,葉
212,甲,甲,㕣,甲
213,申,申,㕜,申
214,叮,叮,㧚,叮
215,电,電,电,電
216,号,號,号,号
217,田,田,㕣,田
218,由,由,㕘,由
219,史,史,㕜,史
220,只,隻/只,只,只
221,央,央,㕣,央
222,兄,兄,㕘,兄
223,叼,叼,㧚,叼
224,叫,叫,呌,叫
225,另,另,㕘,另
226,叨,叨,㧚,叨
227,叹,嘆,叹,嘆
228,四,四,肆,四
229,生,生,㕜,生
230,失,失,㕘,失
231,矢,矢,㕜,矢
232,乍,乍,㕘,乍
233,禾,禾,㕕,禾
234,丘,丘,㕘,丘
235,付,付,㧚,付
236,仗,仗,㧚,仗
237,代,代,㧚,代
238,仙,仙,僊,仙
239,们,們,们,們
240,仪,儀,仪,儀
241,白,白,㕘,白
242,仔,仔,㧚,仔
243,他,他,㧚,他
244,斥,斥,㕘,斥
245,瓜,瓜,㕘,瓜
246,乎,乎,㕘,乎
247,丛,叢,丛,叢
248,令,令,㕘,令
249,用,用,㕘,用
250,甩,甩,㧚,甩
251,印,印,㕘,印
252,乐,樂,乐,楽
253,句,句,㕘,句
254,匆,匆,忩,匆
255,册,冊,册,冊
256,卯,卯,㕘,卯
257,犯,犯,㧚,犯
258,外,外,㕘,外
259,处,處,处,処
260,冬,冬,㕘,冬
261,鸟,鳥,鸟,鳥
262,务,務,务,務
263,包,包,㕘,包
264,饥,飢,饥,飢
265,主,主,㕘,主
266,市,市,㕘,市
267,立,立,㕘,立
268,冯,馮,冯,馮
269,玄,玄,㕘,玄
270,闪,閃,闪,閃
271,兰,蘭,兰,蘭
272,半,半,㕘,半
273,汁,汁,㧚,汁
274,汇,匯,汇,匯
275,头,頭,头,頭
276,汉,漢,汉,漢
277,宁,寧,宁,寧
278,穴,穴,㕘,穴
279,永,永,㕘,永
280,必,必,㕘,必
281,讨,討,讨,討
282,让,讓,让,譲
283,讯,訊,讯,訊
284,记,記,记,記
285,司,司,㕘,司
286,尼,尼,㕘,尼
287,民,民,㕘,民
288,出,出,㕘,出
289,辽,遼,辽,遼
290,奶,奶,㧚,奶
291,奴,奴,㕘,奴
292,召,召,㕘,召
293,加,加,㕘,加
294,皮,皮,㕘,皮
295,边,邊,边,辺
296,发,發,发,発
297,孕,孕,㕘,孕
298,圣,聖,圣,聖
299,对,對,对,対
300,台,臺,台,台
301,矛,矛,㕘,矛
302,母,母,㕘,母
303,幼,幼,㕘,幼
304,丝,絲,丝,糸
305,刑,刑,㕘,刑
306,式,式,㕘,式
307,迁,遷,迁,遷
308,动,動,动,動
309,扛,扛,㧚,扛
310,寺,寺,㕘,寺
311,吉,吉,㕘,吉
312,扣,扣,㧚,扣
313,考,考,㕘,考
314,托,托,㧚,托
315,老,老,㕘,老
316,执,執,执,執
317,扩,擴,扩,拡
318,扫,掃,扫,掃
319,地,地,㕘,地
320,场,場,场,場
321,扬,揚,扬,揚
322,耳,耳,㕘,耳
323,芋,芋,㕘,芋
324,共,共,㕘,共
325,芒,芒,㕘,芒
326,亚,亞,亚,亜
327,芝,芝,㕘,芝
328,朽,朽,㕘,朽
329,朴,樸,朴,朴
330,机,機,机,機
331,权,權,权,権
332,过,過,过,過
333,臣,臣,㕘,臣
334,再,再,㕘,再
335,协,協,协,協
336,西,西,㕘,西
337,压,壓,压,圧
338,厌,厭,厌,厭
339,在,在,㕘,在
340,有,有,㕘,有
341,百,百,㕘,百
342,存,存,㕘,存
343,而,而,㕘,而
344,页,頁,页,頁
345,匠,匠,㕘,匠
346,夸,誇,夸,誇
347,夺,奪,夺,奪
348,灰,灰,㕘,灰
349,达,達,达,達
350,列,列,㕘,列
351,死,死,㕘,死
352,成,成,㕘,成
353,夹,夾,夹,挟
354,轨,軌,轨,軌
355,邪,邪,㕘,邪
356,划,劃,划,劃
357,迈,邁,迈,邁
358,毕,畢,毕,畢
359,至,至,㕘,至
360,此,此,㕘,此
361,贞,貞,贞,貞
362,师,師,师,師
363,尘,塵,尘,塵
364,尖,尖,㕘,尖
365,劣,劣,㕘,劣
366,光,光,㕘,光
367,当,當,当,当
368,早,早,㕘,早
369,吐,吐,㕘,吐
370,吓,嚇,吓,嚇
371,虫,蟲,虫,虫
372,曲,曲,㕘,曲
373,团,團,团,団
374,同,同,㕘,同
375,吕,呂,吕,呂
376,吊,吊,㕘,吊
377,吃,吃,㕘,吃
378,因,因,㕘,因
379,吸,吸,㕘,吸
380,吗,嗎,吗,嗎
381,屿,嶼,屿,嶼
382,帆,帆,㕘,帆
383,岁,歲,岁,歳
384,回,回,㕘,回
385,岂,豈,岂,豈
386,则,則,则,則
387,刚,剛,刚,剛
388,网,網,网,網
389,肉,肉,㕘,肉
390,年,年,㕘,年
391,朱,朱,㕘,朱
392,先,先,㕘,先
393,丢,丟,丢,丟
394,舌,舌,㕘,舌
395,竹,竹,㕘,竹
396,迁,遷,迁,遷
397,乔,喬,乔,喬
398,伟,偉,伟,偉
399,传,傳,传,伝
400,乒,乒,㕘,乒
401,乓,乓,㕘,乓
402,休,休,㕘,休
403,伍,伍,㕘,伍
404,伏,伏,㕘,伏
405,优,優,优,優
406,伐,伐,㕘,伐
407,延,延,㕘,延
408,仲,仲,㕘,仲
409,件,件,㕘,件
410,任,任,㕘,任
411,伤,傷,伤,傷
412,价,價,价,価
413,伦,倫,伦,倫
414,份,份,㕘,份
415,仰,仰,㕘,仰
416,仿,仿,㕘,仿
417,伙,夥,伙,伙
418,伪,偽,伪,偽
419,伊,伊,㕘,伊
420,似,似,㕘,似
421,血,血,㕘,血
422,向,向,㕘,向
423,行,行,㕘,行
424,后,後,后,後
425,舟,舟,㕘,舟
426,全,全,㕘,全
427,会,會,会,会
428,杀,殺,杀,殺
429,合,合,㕘,合
430,兆,兆,㕘,兆
431,企,企,㕘,企
432,众,眾,众,衆
433,爷,爺,爷,爺
434,伞,傘,伞,傘
435,创,創,创,創
436,肌,肌,㕘,肌
437,肋,肋,㕘,肋
438,朵,朵,㕘,朵
439,杂,雜,杂,雑
440,危,危,㕘,危
441,负,負,负,負
442,争,爭,争,争
443,色,色,㕘,色
444,壮,壯,壮,壮
445,冲,衝,冲,衝
446,冰,冰,㕘,氷
447,庄,莊,庄,荘
448,庆,慶,庆,慶
449,亦,亦,㕘,亦
450,刘,劉,刘,劉
451,齐,齊,齐,斉
452,交,交,㕘,交
453,次,次,㕘,次
454,衣,衣,㕘,衣
455,产,產,产,産
456,决,決,决,決
457,充,充,㕘,充
458,妄,妄,㕘,妄
459,闭,閉,闭,閉
460,问,問,问,問
461,闯,闖,闯,闖
462,并,並,并,並
463,关,關,关,関
464,米,米,㕘,米
465,灯,燈,灯,灯
466,州,州,洲,州
467,汗,汗,㕘,汗
468,污,污,汙,污
469,江,江,㕘,江
470,池,池,㕘,池
471,汤,湯,汤,湯
472,忙,忙,㕘,忙
473,兴,興,兴,興
474,宇,宇,㕘,宇
475,守,守,㕘,守
476,宅,宅,㕘,宅
477,字,字,㕘,字
478,安,安,㕘,安
479,讲,講,讲,講
480,讳,諱,讳,諱
481,军,軍,军,軍
482,讶,訝,讶,訝
483,许,許,许,許
484,论,論,论,論
485,讼,訟,讼,訟
486,农,農,农,農
487,讽,諷,讽,諷
488,设,設,设,設
489,访,訪,访,訪
490,寻,尋,寻,尋
491,导,導,导,導
492,异,異,异,異
493,孙,孫,孙,孫
494,阵,陣,阵,陣
495,阳,陽,阳,陽
496,收,收,㕘,収
497,阶,階,阶,階
498,阴,陰,阴,陰
499,防,防,㕘,防
500,奸,奸,㕘,奸
501,如,如,㕘,如
502,妇,婦,妇,婦
503,好,好,㕘,好
504,她,她,㕘,她
505,妈,媽,妈,媽
506,戏,戲,戏,戯
507,羽,羽,㕘,羽
508,观,觀,观,観
509,欢,歡,欢,歓
510,买,買,买,買
511,红,紅,红,紅
512,约,約,约,約
513,级,級,级,級
514,纪,紀,纪,紀
515,驰,馳,驰,馳
516,巡,巡,㕘,巡
517,寿,壽,寿,寿
518,弄,弄,㕘,弄
519,麦,麥,麦,麦
520,形,形,㕘,形
521,进,進,进,進
522,戒,戒,㕘,戒
523,吞,吞,㕘,吞
524,远,遠,远,遠
525,违,違,违,違
526,划,劃,划,劃
527,迈,邁,迈,邁
528,毕,畢,毕,畢
529,至,至,㕘,至
530,此,此,㕘,此
531,贞,貞,贞,貞
532,师,師,师,師
533,尘,塵,尘,塵
534,尖,尖,㕘,尖
535,劣,劣,㕘,劣
536,光,光,㕘,光
537,当,當,当,当
538,早,早,㕘,早
539,吐,吐,㕘,吐
540,吓,嚇,吓,嚇
541,虫,蟲,虫,虫
542,曲,曲,㕘,曲
543,团,團,团,団
544,同,同,㕘,同
545,吕,呂,吕,呂
546,吊,吊,㕘,吊
547,吃,吃,㕘,吃
548,因,因,㕘,因
549,吸,吸,㕘,吸
550,吗,嗎,吗,嗎
551,屿,嶼,屿,嶼
552,帆,帆,㕘,帆
553,岁,歲,岁,歳
554,回,回,㕘,回
555,岂,豈,岂,豈
556,则,則,则,則
557,刚,剛,刚,剛
558,网,網,网,網
559,肉,肉,㕘,肉
560,年,年,㕘,年
561,朱,朱,㕘,朱
562,先,先,㕘,先
563,丢,丟,丢,丟
564,舌,舌,㕘,舌
565,竹,竹,㕘,竹
566,迁,遷,迁,遷
567,乔,喬,乔,喬
568,伟,偉,伟,偉
569,传,傳,传,伝
570,乒,乒,㕘,乒
571,乓,乓,㕘,乓
572,休,休,㕘,休
573,伍,伍,㕘,伍
574,伏,伏,㕘,伏
575,优,優,优,優
576,伐,伐,㕘,伐
577,延,延,㕘,延
578,仲,仲,㕘,仲
579,件,件,㕘,件
580,任,任,㕘,任
581,伤,傷,伤,傷
582,价,價,价,価
583,伦,倫,伦,倫
584,份,份,㕘,份
585,仰,仰,㕘,仰
586,仿,仿,㕘,仿
587,伙,夥,伙,伙
588,伪,偽,伪,偽
589,伊,伊,㕘,伊
590,似,似,㕘,似
591,血,血,㕘,血
592,向,向,㕘,向
593,行,行,㕘,行
594,后,後,后,後
595,舟,舟,㕘,舟
596,全,全,㕘,全
597,会,會,会,会
598,杀,殺,杀,殺
599,合,合,㕘,合
600,兆,兆,㕘,兆
601,企,企,㕘,企
602,众,眾,众,衆
603,爷,爺,爷,爺
604,伞,傘,伞,傘
605,创,創,创,創
606,肌,肌,㕘,肌
607,肋,肋,㕘,肋
608,朵,朵,㕘,朵
609,杂,雜,杂,雑
610,危,危,㕘,危
611,负,負,负,負
612,争,爭,争,争
613,色,色,㕘,色
614,壮,壯,壮,壮
615,冲,衝,冲,衝
616,冰,冰,㕘,氷
617,庄,莊,庄,荘
618,庆,慶,庆,慶
619,亦,亦,㕘,亦
620,刘,劉,刘,劉
621,齐,齊,齐,斉
622,交,交,㕘,交
623,次,次,㕘,次
624,衣,衣,㕘,衣
625,产,產,产,産
626,决,決,决,決
627,充,充,㕘,充
628,妄,妄,㕘,妄
629,闭,閉,闭,閉
630,问,問,问,問
631,闯,闖,闯,闖
632,并,並,并,並
633,关,關,关,関
634,米,米,㕘,米
635,灯,燈,灯,灯
636,州,州,洲,州
637,汗,汗,㕘,汗
638,污,污,汙,污
639,江,江,㕘,江
640,池,池,㕘,池
641,汤,湯,汤,湯
642,忙,忙,㕘,忙
643,兴,興,兴,興
644,宇,宇,㕘,宇
645,守,守,㕘,守
646,宅,宅,㕘,宅
647,字,字,㕘,字
648,安,安,㕘,安
649,讲,講,讲,講
650,讳,諱,讳,諱
651,军,軍,军,軍
652,讶,訝,讶,訝
653,许,許,许,許
654,论,論,论,論
655,讼,訟,讼,訟
656,农,農,农,農
657,讽,諷,讽,諷
658,设,設,设,設
659,访,訪,访,訪
660,寻,尋,寻,尋
661,导,導,导,導
662,异,異,异,異
663,孙,孫,孙,孫
664,阵,陣,阵,陣
665,阳,陽,阳,陽
666,收,收,㕘,収
667,阶,階,阶,階
668,阴,陰,阴,陰
669,防,防,㕘,防
670,奸,奸,㕘,奸
671,如,如,㕘,如
672,妇,婦,妇,婦
673,好,好,㕘,好
674,她,她,㕘,她
675,妈,媽,妈,媽
676,戏,戲,戏,戯
677,羽,羽,㕘,羽
678,观,觀,观,観
679,欢,歡,欢,歓
680,买,買,买,買
681,红,紅,红,紅
682,约,約,约,約
683,级,級,级,級
684,纪,紀,纪,紀
685,驰,馳,驰,馳
686,巡,巡,㕘,巡
687,寿,壽,寿,寿
688,弄,弄,㕘,弄
689,麦,麥,麦,麦
690,形,形,㕘,形
691,进,進,进,進
692,戒,戒,㕘,戒
693,吞,吞,㕘,吞
694,远,遠,远,遠
695,违,違,违,違
696,划,劃,划,劃
697,迈,邁,迈,邁
698,毕,畢,毕,畢
699,至,至,㕘,至
700,此,此,㕘,此
701,贞,貞,贞,貞
702,师,師,师,師
703,尘,塵,尘,塵
704,尖,尖,㕘,尖
705,劣,劣,㕘,劣
706,光,光,㕘,光
707,当,當,当,当
708,早,早,㕘,早
709,吐,吐,㕘,吐
710,吓,嚇,吓,嚇
711,虫,蟲,虫,虫
712,曲,曲,㕘,曲
713,团,團,团,団
714,同,同,㕘,同
715,吕,呂,吕,呂
716,吊,吊,㕘,吊
717,吃,吃,㕘,吃
718,因,因,㕘,因
719,吸,吸,㕘,吸
720,吗,嗎,吗,嗎
721,屿,嶼,屿,嶼
722,帆,帆,㕘,帆
723,岁,歲,岁,歳
724,回,回,㕘,回
725,岂,豈,岂,豈
726,则,則,则,則
727,刚,剛,刚,剛
728,网,網,网,網
729,肉,肉,㕘,肉
730,年,年,㕘,年
731,朱,朱,㕘,朱
732,先,先,㕘,先
733,丢,丟,丢,丟
734,舌,舌,㕘,舌
735,竹,竹,㕘,竹
736,迁,遷,迁,遷
737,乔,喬,乔,喬
738,伟,偉,伟,偉
739,传,傳,传,伝
740,乒,乒,㕘,乒
741,乓,乓,㕘,乓
742,休,休,㕘,休
743,伍,伍,㕘,伍
744,伏,伏,㕘,伏
745,优,優,优,優
746,伐,伐,㕘,伐
747,延,延,㕘,延
748,仲,仲,㕘,仲
749,件,件,㕘,件
750,任,任,㕘,任
751,伤,傷,伤,傷
752,价,價,价,価
753,伦,倫,伦,倫
754,份,份,㕘,份
755,仰,仰,㕘,仰
756,仿,仿,㕘,仿
757,伙,夥,伙,伙
758,伪,偽,伪,偽
759,伊,伊,㕘,伊
760,似,似,㕘,似
761,血,血,㕘,血
762,向,向,㕘,向
763,行,行,㕘,行
764,后,後,后,後
765,舟,舟,㕘,舟
766,全,全,㕘,全
767,会,會,会,会
768,杀,殺,杀,殺
769,合,合,㕘,合
770,兆,兆,㕘,兆
771,企,企,㕘,企
772,众,眾,众,衆
773,爷,爺,爷,爺
774,伞,傘,伞,傘
775,创,創,创,創
776,肌,肌,㕘,肌
777,肋,肋,㕘,肋
778,朵,朵,㕘,朵
779,杂,雜,杂,雑
780,危,危,㕘,危
781,负,負,负,負
782,争,爭,争,争
783,色,色,㕘,色
784,壮,壯,壮,壮
785,冲,衝,冲,衝
786,冰,冰,㕘,氷
787,庄,莊,庄,荘
788,庆,慶,庆,慶
789,亦,亦,㕘,亦
790,刘,劉,刘,劉
791,齐,齊,齐,斉
792,交,交,㕘,交
793,次,次,㕘,次
794,衣,衣,㕘,衣
795,产,產,产,産
796,决,決,决,決
797,充,充,㕘,充
798,妄,妄,㕘,妄
799,闭,閉,闭,閉
800,问,問,问,問
801,闯,闖,闯,闖
802,并,並,并,並
803,关,關,关,関
804,米,米,㕘,米
805,灯,燈,灯,灯
806,州,州,洲,州
807,汗,汗,㕘,汗
808,污,污,汙,污
809,江,江,㕘,江
810,池,池,㕘,池
811,汤,湯,汤,湯
812,忙,忙,㕘,忙
813,兴,興,兴,興
814,宇,宇,㕘,宇
815,守,守,㕘,守
816,宅,宅,㕘,宅
817,字,字,㕘,字
818,安,安,㕘,安
819,讲,講,讲,講
820,讳,諱,讳,諱
821,军,軍,军,軍
822,讶,訝,讶,訝
823,许,許,许,許
824,论,論,论,論
825,讼,訟,讼,訟
826,农,農,农,農
827,讽,諷,讽,諷
828,设,設,设,設
829,访,訪,访,訪
830,寻,尋,寻,尋
831,导,導,导,導
832,异,異,异,異
833,孙,孫,孙,孫
834,阵,陣,阵,陣
835,阳,陽,阳,陽
836,收,收,㕘,収
837,阶,階,阶,階
838,阴,陰,阴,陰
839,防,防,㕘,防
840,奸,奸,㕘,奸
841,如,如,㕘,如
842,妇,婦,妇,婦
843,好,好,㕘,好
844,她,她,㕘,她
845,妈,媽,妈,媽
846,戏,戲,戏,戯
847,羽,羽,㕘,羽
848,观,觀,观,観
849,欢,歡,欢,歓
850,买,買,买,買
851,红,紅,红,紅
852,约,約,约,約
853,级,級,级,級
854,纪,紀,纪,紀
855,驰,馳,驰,馳
856,巡,巡,㕘,巡
857,寿,壽,寿,寿
858,弄,弄,㕘,弄
859,麦,麥,麦,麦
860,形,形,㕘,形
861,进,進,进,進
862,戒,戒,㕘,戒
863,吞,吞,㕘,吞
864,远,遠,远,遠
865,违,違,违,違
866,划,劃,划,劃
867,迈,邁,迈,邁
868,毕,畢,毕,畢
869,至,至,㕘,至
870,此,此,㕘,此
871,贞,貞,贞,貞
872,师,師,师,師
873,尘,塵,尘,塵
874,尖,尖,㕘,尖
875,劣,劣,㕘,劣
876,光,光,㕘,光
877,当,當,当,当
878,早,早,㕘,早
879,吐,吐,㕘,吐
880,吓,嚇,吓,嚇
881,虫,蟲,虫,虫
882,曲,曲,㕘,曲
883,团,團,团,団
884,同,同,㕘,同
885,吕,呂,吕,呂
886,吊,吊,㕘,吊
887,吃,吃,㕘,吃
888,因,因,㕘,因
889,吸,吸,㕘,吸
890,吗,嗎,吗,嗎
891,屿,嶼,屿,嶼
892,帆,帆,㕘,帆
893,岁,歲,岁,歳
894,回,回,㕘,回
895,岂,豈,岂,豈
896,则,則,则,則
897,刚,剛,刚,剛
898,网,網,网,網
899,肉,肉,㕘,肉
900,年,年,㕘,年
901,朱,朱,㕘,朱
902,先,先,㕘,先
903,丢,丟,丢,丟
904,舌,舌,㕘,舌
905,竹,竹,㕘,竹
906,迁,遷,迁,遷
907,乔,喬,乔,喬
908,伟,偉,伟,偉
909,传,傳,传,伝
910,乒,乒,㕘,乒
911,乓,乓,㕘,乓
912,休,休,㕘,休
913,伍,伍,㕘,伍
914,伏,伏,㕘,伏
915,优,優,优,優
916,伐,伐,㕘,伐
917,延,延,㕘,延
918,仲,仲,㕘,仲
919,件,件,㕘,件
920,任,任,㕘,任
921,伤,傷,伤,傷
922,价,價,价,価
923,伦,倫,伦,倫
924,份,份,㕘,份
925,仰,仰,㕘,仰
926,仿,仿,㕘,仿
927,伙,夥,伙,伙
928,伪,偽,伪,偽
929,伊,伊,㕘,伊
930,似,似,㕘,似
931,血,血,㕘,血
932,向,向,㕘,向
933,行,行,㕘,行
934,后,後,后,後
935,舟,舟,㕘,舟
936,全,全,㕘,全
937,会,會,会,会
938,杀,殺,杀,殺
939,合,合,㕘,合
940,兆,兆,㕘,兆
941,企,企,㕘,企
942,众,眾,众,衆
943,爷,爺,爷,爺
944,伞,傘,伞,傘
945,创,創,创,創
946,肌,肌,㕘,肌
947,肋,肋,㕘,肋
948,朵,朵,㕘,朵
949,杂,雜,杂,雑
950,危,危,㕘,危
951,负,負,负,負
952,争,爭,争,争
953,色,色,㕘,色
954,壮,壯,壮,壮
955,冲,衝,冲,衝
956,冰,冰,㕘,氷
957,庄,莊,庄,荘
958,庆,慶,庆,慶
959,亦,亦,㕘,亦
960,刘,劉,刘,劉
961,齐,齊,齐,斉
962,交,交,㕘,交
963,次,次,㕘,次
964,衣,衣,㕘,衣
965,产,產,产,産
966,决,決,决,決
967,充,充,㕘,充
968,妄,妄,㕘,妄
969,闭,閉,闭,閉
970,问,問,问,問
971,闯,闖,闯,闖
972,并,並,并,並
973,关,關,关,関
974,米,米,㕘,米
975,灯,燈,灯,灯
976,州,州,洲,州
977,汗,汗,㕘,汗
978,污,污,汙,污
979,江,江,㕘,江
980,池,池,㕘,池
981,汤,湯,汤,湯
982,忙,忙,㕘,忙
983,兴,興,兴,興
984,宇,宇,㕘,宇
985,守,守,㕘,守
986,宅,宅,㕘,宅
987,字,字,㕘,字
988,安,安,㕘,安
989,讲,講,讲,講
990,讳,諱,讳,諱
991,军,軍,军,軍
992,讶,訝,讶,訝
993,许,許,许,許
994,论,論,论,論
995,讼,訟,讼,訟
996,农,農,农,農
997,讽,諷,讽,諷
998,设,設,设,設
999,访,訪,访,訪
1000,寻,尋,寻,尋
1001,导,導,导,導
1002,异,異,异,異
1003,孙,孫,孙,孫
1004,阵,陣,阵,陣
1005,阳,陽,阳,陽
1006,收,收,㕘,収
1007,阶,階,阶,階
1008,阴,陰,阴,陰
1009,防,防,㕘,防
1010,奸,奸,㕘,奸
1011,如,如,㕘,如
1012,妇,婦,妇,婦
1013,好,好,㕘,好
1014,她,她,㕘,她
1015,妈,媽,妈,媽
1016,戏,戲,戏,戯
1017,羽,羽,㕘,羽
1018,观,觀,观,観
1019,欢,歡,欢,歓
1020,买,買,买,買
1021,红,紅,红,紅
1022,约,約,约,約
1023,级,級,级,級
1024,纪,紀,纪,紀
1025,驰,馳,驰,馳
1026,巡,巡,㕘,巡
1027,寿,壽,寿,寿
1028,弄,弄,㕘,弄
1029,麦,麥,麦,麦
1030,形,形,㕘,形
1031,进,進,进,進
1032,戒,戒,㕘,戒
1033,吞,吞,㕘,吞
1034,远,遠,远,遠
1035,违,違,违,違
1036,划,劃,划,劃
1037,迈,邁,迈,邁
1038,毕,畢,毕,畢
1039,至,至,㕘,至
1040,此,此,㕘,此
1041,贞,貞,贞,貞
1042,师,師,师,師
1043,尘,塵,尘,塵
1044,尖,尖,㕘,尖
1045,劣,劣,㕘,劣
1046,光,光,㕘,光
1047,当,當,当,当
1048,早,早,㕘,早
1049,吐,吐,㕘,吐
1050,吓,嚇,吓,嚇
1051,虫,蟲,虫,虫
1052,曲,曲,㕘,曲
1053,团,團,团,団
1054,同,同,㕘,同
1055,吕,呂,吕,呂
1056,吊,吊,㕘,吊
1057,吃,吃,㕘,吃
1058,因,因,㕘,因
1059,吸,吸,㕘,吸
1060,吗,嗎,吗,嗎
1061,屿,嶼,屿,嶼
1062,帆,帆,㕘,帆
1063,岁,歲,岁,歳
1064,回,回,㕘,回
1065,岂,豈,岂,豈
1066,则,則,则,則
1067,刚,剛,刚,剛
1068,网,網,网,網
1069,肉,肉,㕘,肉
1070,年,年,㕘,年
1071,朱,朱,㕘,朱
1072,先,先,㕘,先
1073,丢,丟,丢,丟
1074,舌,舌,㕘,舌
1075,竹,竹,㕘,竹
