序号,简体,繁体,异体,日文
195,家,家,家,家
196,加,加,加,加
197,间,間,间,間
198,件,件,件,件
199,见,見,见,見
200,建,建,建,建
201,将,將,将,将
202,江,江,江,江
203,教,教,教,教
204,交,交,交,交
205,角,角,角,角
206,叫,叫,叫,叫
207,节,節,节,節
208,结,結,结,結
209,解,解,解,解
210,界,界,界,界
211,今,今,今,今
212,金,金,金,金
213,紧,緊,紧,緊
214,进,進,进,進
215,近,近,近,近
216,京,京,京,京
217,经,經,经,経
218,精,精,精,精
219,九,九,九,九
220,就,就,就,就
221,旧,舊,旧,旧
222,军,軍,军,軍
223,开,開,开,開
224,看,看,看,看
225,科,科,科,科
226,可,可,可,可
227,客,客,客,客
228,课,課,课,課
229,空,空,空,空
230,口,口,口,口
231,苦,苦,苦,苦
232,快,快,快,快
233,拉,拉,拉,拉
234,来,來,来,来
235,老,老,老,老
236,乐,樂,乐,楽
237,了,了,了,了
238,类,類,类,類
239,里,裏,里,裏
240,力,力,力,力
241,立,立,立,立
242,利,利,利,利
243,例,例,例,例
244,联,聯,联,聯
245,连,連,连,連
246,两,兩,两,両
247,量,量,量,量
248,了,了,了,了
249,林,林,林,林
250,领,領,领,領
251,令,令,令,令
252,流,流,流,流
253,六,六,六,六
254,龙,龍,龙,竜
255,路,路,路,路
256,论,論,论,論
257,妈,媽,妈,媽
258,马,馬,马,馬
259,吗,嗎,吗,嗎
260,买,買,买,買
261,满,滿,满,満
262,么,麼,么,麼
263,没,沒,没,没
264,每,每,每,每
265,门,門,门,門
266,们,們,们,們
267,米,米,米,米
268,面,面,面,面
269,民,民,民,民
270,名,名,名,名
271,明,明,明,明
272,目,目,目,目
273,那,那,那,那
274,难,難,难,難
275,你,你,你,你
276,年,年,年,年
277,念,念,念,念
278,牛,牛,牛,牛
279,农,農,农,農
280,女,女,女,女
281,跑,跑,跑,跑
282,朋,朋,朋,朋
283,皮,皮,皮,皮
284,片,片,片,片
285,品,品,品,品
286,平,平,平,平
287,七,七,七,七
288,期,期,期,期
289,起,起,起,起
290,气,氣,气,気
291,千,千,千,千
292,前,前,前,前
293,钱,錢,钱,銭
294,强,強,强,強
295,且,且,且,且
296,亲,親,亲,親
297,青,青,青,青
298,清,清,清,清
299,情,情,情,情
300,秋,秋,秋,秋
301,去,去,去,去
302,全,全,全,全
303,然,然,然,然
304,让,讓,让,譲
305,人,人,人,人
306,任,任,任,任
307,日,日,日,日
308,容,容,容,容
309,如,如,如,如
310,三,三,三,三
311,色,色,色,色
312,山,山,山,山
313,上,上,上,上
314,少,少,少,少
315,社,社,社,社
316,设,設,设,設
317,身,身,身,身
318,什,什,什,什
319,生,生,生,生
320,师,師,师,師
321,十,十,十,十
322,什,什,什,什
323,时,時,时,時
324,识,識,识,識
325,实,實,实,実
326,食,食,食,食
327,史,史,史,史
328,使,使,使,使
329,世,世,世,世
330,事,事,事,事
331,是,是,是,是
332,市,市,市,市
333,示,示,示,示
334,式,式,式,式
335,事,事,事,事
336,室,室,室,室
337,手,手,手,手
338,首,首,首,首
339,受,受,受,受
340,书,書,书,書
341,术,術,术,術
342,数,數,数,数
343,树,樹,树,樹
344,双,雙,双,双
345,水,水,水,水
346,说,說,说,説
347,思,思,思,思
348,司,司,司,司
349,四,四,四,四
350,送,送,送,送
351,诉,訴,诉,訴
352,速,速,速,速
353,岁,歲,岁,歳
354,他,他,他,他
355,它,它,它,它
356,太,太,太,太
357,提,提,提,提
358,体,體,体,体
359,天,天,天,天
360,条,條,条,条
361,听,聽,听,聴
362,通,通,通,通
363,同,同,同,同
364,头,頭,头,頭
365,土,土,土,土
366,外,外,外,外
367,完,完,完,完
368,万,萬,万,万
369,王,王,王,王
370,网,網,网,網
371,为,為,为,為
372,位,位,位,位
373,文,文,文,文
374,我,我,我,我
375,无,無,无,無
376,五,五,五,五
377,西,西,西,西
378,习,習,习,習
379,系,系統,系,系
380,下,下,下,下
381,先,先,先,先
382,现,現,现,現
383,相,相,相,相
384,想,想,想,想
385,向,向,向,向
386,象,象,象,象
387,小,小,小,小
388,校,校,校,校
389,些,些,些,些
390,写,寫,写,写
391,谢,謝,谢,謝
392,心,心,心,心
393,新,新,新,新
394,信,信,信,信
395,兴,興,兴,興
396,星,星,星,星
397,行,行,行,行
398,形,形,形,形
399,性,性,性,性
400,休,休,休,休
401,须,須,须,須
402,学,學,学,学
403,言,言,言,言
404,研,研,研,研
405,阳,陽,阳,陽
406,样,樣,样,様
407,要,要,要,要
408,也,也,也,也
409,业,業,业,業
410,页,頁,页,頁
411,一,一,一,一
412,医,醫,医,医
413,已,已,已,已
414,以,以,以,以
415,意,意,意,意
416,义,義,义,義
417,因,因,因,因
418,阴,陰,阴,陰
419,应,應,应,応
420,用,用,用,用
421,由,由,由,由
422,有,有,有,有
423,又,又,又,又
424,于,於,于,於
425,鱼,魚,鱼,魚
426,雨,雨,雨,雨
427,语,語,语,語
428,元,元,元,元
429,远,遠,远,遠
430,院,院,院,院
431,月,月,月,月
432,云,雲,云,雲
433,运,運,运,運
434,再,再,再,再
435,在,在,在,在
436,早,早,早,早
437,怎,怎,怎,怎
438,增,增,增,増
439,展,展,展,展
440,站,站,站,站
441,张,張,张,張
442,长,長,长,長
443,找,找,找,找
444,这,這,这,這
445,真,真,真,真
446,正,正,正,正
447,知,知,知,知
448,之,之,之,之
449,只,只,只,只
450,指,指,指,指
451,至,至,至,至
452,志,志,志,志
453,中,中,中,中
454,种,種,种,種
455,重,重,重,重
456,主,主,主,主
457,住,住,住,住
458,子,子,子,子
459,自,自,自,自
460,字,字,字,字
461,走,走,走,走
462,组,組,组,組
463,最,最,最,最
464,作,作,作,作
465,左,左,左,左
466,右,右,右,右
467,本,本,本,本
468,表,表,表,表
469,标,標,标,標
470,步,步,步,歩
471,部,部,部,部
472,才,才,才,才
473,彩,彩,彩,彩
474,菜,菜,菜,菜
475,参,參,参,参
476,草,草,草,草
477,层,層,层,層
478,察,察,察,察
479,差,差,差,差
480,常,常,常,常
481,场,場,场,場
482,唱,唱,唱,唱
483,朝,朝,朝,朝
484,陈,陳,陈,陳
485,称,稱,称,称
486,城,城,城,城
487,程,程,程,程
488,吃,吃,吃,吃
489,持,持,持,持
490,充,充,充,充
491,初,初,初,初
492,除,除,除,除
493,楚,楚,楚,楚
494,处,處,处,処
495,川,川,川,川
496,船,船,船,船
497,窗,窗,窗,窓
498,春,春,春,春
499,词,詞,词,詞
500,次,次,次,次
501,从,從,从,従
502,村,村,村,村
503,存,存,存,存
504,错,錯,错,錯
505,答,答,答,答
506,打,打,打,打
507,大,大,大,大
508,代,代,代,代
509,带,帶,带,帯
510,单,單,单,単
511,但,但,但,但
512,当,當,当,当
513,党,黨,党,党
514,道,道,道,道
515,德,德,德,徳
516,等,等,等,等
517,低,低,低,低
518,敌,敵,敌,敵
519,底,底,底,底
520,地,地,地,地
521,第,第,第,第
522,点,點,点,点
523,电,電,电,電
524,调,調,调,調
525,定,定,定,定
526,东,東,东,東
527,冬,冬,冬,冬
528,动,動,动,動
529,都,都,都,都
530,读,讀,读,読
531,度,度,度,度
532,段,段,段,段
533,对,對,对,対
534,多,多,多,多
535,而,而,而,而
536,儿,兒,儿,児
537,尔,爾,尔,爾
538,二,二,二,二
539,发,發,发,発
540,法,法,法,法
541,反,反,反,反
542,方,方,方,方
543,放,放,放,放
544,飞,飛,飞,飛
545,非,非,非,非
546,分,分,分,分
547,份,份,份,份
548,风,風,风,風
549,夫,夫,夫,夫
550,服,服,服,服
551,福,福,福,福
552,府,府,府,府
553,父,父,父,父
554,付,付,付,付
555,妇,婦,妇,婦
556,复,復,复,復
557,该,該,该,該
558,改,改,改,改
559,干,乾,干,干
560,感,感,感,感
561,刚,剛,刚,剛
562,高,高,高,高
563,告,告,告,告
564,哥,哥,哥,哥
565,歌,歌,歌,歌
566,革,革,革,革
567,格,格,格,格
568,个,個,个,個
569,各,各,各,各
570,给,給,给,給
571,根,根,根,根
572,跟,跟,跟,跟
573,更,更,更,更
574,工,工,工,工
575,公,公,公,公
576,功,功,功,功
577,共,共,共,共
578,够,夠,够,够
579,姑,姑,姑,姑
580,古,古,古,古
581,故,故,故,故
582,顾,顧,顾,顧
583,关,關,关,関
584,观,觀,观,観
585,官,官,官,官
586,管,管,管,管
587,光,光,光,光
588,广,廣,广,広
589,规,規,规,規
590,国,國,国,国
591,果,果,果,果
592,过,過,过,過
593,海,海,海,海
594,害,害,害,害
595,好,好,好,好
596,号,號,号,号
597,河,河,河,河
598,和,和,和,和
599,合,合,合,合
600,何,何,何,何
601,黑,黑,黑,黒
602,很,很,很,很
603,红,紅,红,紅
604,后,後,后,後
605,候,候,候,候
606,花,花,花,花
607,华,華,华,華
608,画,畫,画,画
609,划,劃,划,劃
610,化,化,化,化
611,话,話,话,話
612,还,還,还,還
613,回,回,回,回
614,会,會,会,会
615,活,活,活,活
616,火,火,火,火
617,机,機,机,機
618,基,基,基,基
619,及,及,及,及
620,级,級,级,級
621,极,極,极,極
622,几,幾,几,幾
623,己,己,己,己
624,记,記,记,記
625,计,計,计,計
626,家,家,家,家
627,加,加,加,加
628,间,間,间,間
629,件,件,件,件
630,见,見,见,見
631,建,建,建,建
632,将,將,将,将
633,江,江,江,江
634,教,教,教,教
635,交,交,交,交
636,角,角,角,角
637,叫,叫,叫,叫
638,节,節,节,節
639,结,結,结,結
640,解,解,解,解
641,界,界,界,界
642,今,今,今,今
643,金,金,金,金
644,紧,緊,紧,緊
645,进,進,进,進
646,近,近,近,近
647,京,京,京,京
648,经,經,经,経
649,精,精,精,精
650,九,九,九,九
651,就,就,就,就
652,旧,舊,旧,旧
653,军,軍,军,軍
654,开,開,开,開
655,看,看,看,看
656,科,科,科,科
657,可,可,可,可
658,客,客,客,客
659,课,課,课,課
660,空,空,空,空
661,口,口,口,口
662,苦,苦,苦,苦
663,快,快,快,快
664,拉,拉,拉,拉
665,来,來,来,来
666,老,老,老,老
667,乐,樂,乐,楽
668,了,了,了,了
669,类,類,类,類
670,里,裏,里,裏
671,力,力,力,力
672,立,立,立,立
673,利,利,利,利
674,例,例,例,例
675,联,聯,联,聯
676,连,連,连,連
677,两,兩,两,両
678,量,量,量,量
679,了,了,了,了
680,林,林,林,林
681,领,領,领,領
682,令,令,令,令
683,流,流,流,流
684,六,六,六,六
685,龙,龍,龙,竜
686,路,路,路,路
687,论,論,论,論
688,妈,媽,妈,媽
689,马,馬,马,馬
690,吗,嗎,吗,嗎
691,买,買,买,買
692,满,滿,满,満
693,么,麼,么,麼
694,没,沒,没,没
695,每,每,每,每
696,门,門,门,門
697,们,們,们,們
698,米,米,米,米
699,面,面,面,面
700,民,民,民,民
701,名,名,名,名
702,明,明,明,明
703,目,目,目,目
704,那,那,那,那
705,难,難,难,難
706,你,你,你,你
707,年,年,年,年
708,念,念,念,念
709,牛,牛,牛,牛
710,农,農,农,農
711,女,女,女,女
712,跑,跑,跑,跑
713,朋,朋,朋,朋
714,皮,皮,皮,皮
715,片,片,片,片
716,品,品,品,品
717,平,平,平,平
718,七,七,七,七
719,期,期,期,期
720,起,起,起,起
721,气,氣,气,気
722,千,千,千,千
723,前,前,前,前
724,钱,錢,钱,銭
725,强,強,强,強
726,且,且,且,且
727,亲,親,亲,親
728,青,青,青,青
729,清,清,清,清
730,情,情,情,情
731,秋,秋,秋,秋
732,去,去,去,去
733,全,全,全,全
734,然,然,然,然
735,让,讓,让,譲
736,人,人,人,人
737,任,任,任,任
738,日,日,日,日
739,容,容,容,容
740,如,如,如,如
741,三,三,三,三
742,色,色,色,色
743,山,山,山,山
744,上,上,上,上
745,少,少,少,少
746,社,社,社,社
747,设,設,设,設
748,身,身,身,身
749,什,什,什,什
750,生,生,生,生
751,师,師,师,師
752,十,十,十,十
753,什,什,什,什
754,时,時,时,時
755,识,識,识,識
756,实,實,实,実
757,食,食,食,食
758,史,史,史,史
759,使,使,使,使
760,世,世,世,世
761,事,事,事,事
762,是,是,是,是
763,市,市,市,市
764,示,示,示,示
765,式,式,式,式
766,事,事,事,事
767,室,室,室,室
768,手,手,手,手
769,首,首,首,首
770,受,受,受,受
771,书,書,书,書
772,术,術,术,術
773,数,數,数,数
774,树,樹,树,樹
775,双,雙,双,双
776,水,水,水,水
777,说,說,说,説
778,思,思,思,思
779,司,司,司,司
780,四,四,四,四
781,送,送,送,送
782,诉,訴,诉,訴
783,速,速,速,速
784,岁,歲,岁,歳
785,他,他,他,他
786,它,它,它,它
787,太,太,太,太
788,提,提,提,提
789,体,體,体,体
790,天,天,天,天
791,条,條,条,条
792,听,聽,听,聴
793,通,通,通,通
794,同,同,同,同
795,头,頭,头,頭
796,土,土,土,土
797,外,外,外,外
798,完,完,完,完
799,万,萬,万,万
800,王,王,王,王
801,网,網,网,網
802,为,為,为,為
803,位,位,位,位
804,文,文,文,文
805,我,我,我,我
806,无,無,无,無
807,五,五,五,五
808,西,西,西,西
809,习,習,习,習
810,系,系統,系,系
811,下,下,下,下
812,先,先,先,先
813,现,現,现,現
814,相,相,相,相
815,想,想,想,想
816,向,向,向,向
817,象,象,象,象
818,小,小,小,小
819,校,校,校,校
820,些,些,些,些
821,写,寫,写,写
822,谢,謝,谢,謝
823,心,心,心,心
824,新,新,新,新
825,信,信,信,信
826,兴,興,兴,興
827,星,星,星,星
828,行,行,行,行
829,形,形,形,形
830,性,性,性,性
831,休,休,休,休
832,须,須,须,須
833,学,學,学,学
834,言,言,言,言
835,研,研,研,研
836,阳,陽,阳,陽
837,样,樣,样,様
838,要,要,要,要
839,也,也,也,也
840,业,業,业,業
841,页,頁,页,頁
842,一,一,一,一
843,医,醫,医,医
844,已,已,已,已
845,以,以,以,以
846,意,意,意,意
847,义,義,义,義
848,因,因,因,因
849,阴,陰,阴,陰
850,应,應,应,応
851,用,用,用,用
852,由,由,由,由
853,有,有,有,有
854,又,又,又,又
855,于,於,于,於
856,鱼,魚,鱼,魚
857,雨,雨,雨,雨
858,语,語,语,語
859,元,元,元,元
860,远,遠,远,遠
861,院,院,院,院
862,月,月,月,月
863,云,雲,云,雲
864,运,運,运,運
865,再,再,再,再
866,在,在,在,在
867,早,早,早,早
868,怎,怎,怎,怎
869,增,增,增,増
870,展,展,展,展
871,站,站,站,站
872,张,張,张,張
873,长,長,长,長
874,找,找,找,找
875,这,這,这,這
876,真,真,真,真
877,正,正,正,正
878,知,知,知,知
879,之,之,之,之
880,只,只,只,只
881,指,指,指,指
882,至,至,至,至
883,志,志,志,志
884,中,中,中,中
885,种,種,种,種
886,重,重,重,重
887,主,主,主,主
888,住,住,住,住
889,子,子,子,子
890,自,自,自,自
891,字,字,字,字
892,走,走,走,走
893,组,組,组,組
894,最,最,最,最
895,作,作,作,作
896,左,左,左,左
897,右,右,右,右
898,本,本,本,本
899,表,表,表,表
900,标,標,标,標
901,步,步,步,歩
902,部,部,部,部
903,才,才,才,才
904,彩,彩,彩,彩
905,菜,菜,菜,菜
906,参,參,参,参
907,草,草,草,草
908,层,層,层,層
909,察,察,察,察
910,差,差,差,差
911,常,常,常,常
912,场,場,场,場
913,唱,唱,唱,唱
914,朝,朝,朝,朝
915,陈,陳,陈,陳
916,称,稱,称,称
917,城,城,城,城
918,程,程,程,程
919,吃,吃,吃,吃
920,持,持,持,持
921,充,充,充,充
922,初,初,初,初
923,除,除,除,除
924,楚,楚,楚,楚
925,处,處,处,処
926,川,川,川,川
927,船,船,船,船
928,窗,窗,窗,窓
929,春,春,春,春
930,词,詞,词,詞
931,次,次,次,次
932,从,從,从,従
933,村,村,村,村
934,存,存,存,存
935,错,錯,错,錯
936,答,答,答,答
937,打,打,打,打
938,大,大,大,大
939,代,代,代,代
940,带,帶,带,帯
941,单,單,单,単
942,但,但,但,但
943,当,當,当,当
944,党,黨,党,党
945,道,道,道,道
946,德,德,德,徳
947,等,等,等,等
948,低,低,低,低
949,敌,敵,敌,敵
950,底,底,底,底
951,地,地,地,地
952,第,第,第,第
953,点,點,点,点
954,电,電,电,電
955,调,調,调,調
956,定,定,定,定
957,东,東,东,東
958,冬,冬,冬,冬
959,动,動,动,動
960,都,都,都,都
961,读,讀,读,読
962,度,度,度,度
963,段,段,段,段
964,对,對,对,対
965,多,多,多,多
966,而,而,而,而
967,儿,兒,儿,児
968,尔,爾,尔,爾
969,二,二,二,二
970,发,發,发,発
971,法,法,法,法
972,反,反,反,反
973,方,方,方,方
974,放,放,放,放
975,飞,飛,飞,飛
976,非,非,非,非
977,分,分,分,分
978,份,份,份,份
979,风,風,风,風
980,夫,夫,夫,夫
981,服,服,服,服
982,福,福,福,福
983,府,府,府,府
984,父,父,父,父
985,付,付,付,付
986,妇,婦,妇,婦
987,复,復,复,復
988,该,該,该,該
989,改,改,改,改
990,干,乾,干,干
991,感,感,感,感
992,刚,剛,刚,剛
993,高,高,高,高
994,告,告,告,告
995,哥,哥,哥,哥
996,歌,歌,歌,歌
997,革,革,革,革
998,格,格,格,格
999,个,個,个,個
1000,各,各,各,各
1001,给,給,给,給
1002,根,根,根,根
1003,跟,跟,跟,跟
1004,更,更,更,更
1005,工,工,工,工
1006,公,公,公,公
1007,功,功,功,功
1008,共,共,共,共
1009,够,夠,够,够
1010,姑,姑,姑,姑
1011,古,古,古,古
1012,故,故,故,故
1013,顾,顧,顾,顧
1014,关,關,关,関
1015,观,觀,观,観
1016,官,官,官,官
1017,管,管,管,管
1018,光,光,光,光
1019,广,廣,广,広
1020,规,規,规,規
1021,国,國,国,国
1022,果,果,果,果
1023,过,過,过,過
1024,海,海,海,海
1025,害,害,害,害
1026,好,好,好,好
1027,号,號,号,号
1028,河,河,河,河
1029,和,和,和,和
1030,合,合,合,合
1031,何,何,何,何
1032,黑,黑,黑,黒
1033,很,很,很,很
1034,红,紅,红,紅
1035,后,後,后,後
1036,候,候,候,候
1037,花,花,花,花
1038,华,華,华,華
1039,画,畫,画,画
1040,划,劃,划,劃
1041,化,化,化,化
1042,话,話,话,話
1043,还,還,还,還
1044,回,回,回,回
1045,会,會,会,会
1046,活,活,活,活
1047,火,火,火,火
1048,机,機,机,機
1049,基,基,基,基
1050,及,及,及,及
1051,级,級,级,級
1052,极,極,极,極
1053,几,幾,几,幾
1054,己,己,己,己
1055,记,記,记,記
1056,计,計,计,計
1057,家,家,家,家
1058,加,加,加,加
1059,间,間,间,間
1060,件,件,件,件
1061,见,見,见,見
1062,建,建,建,建
1063,将,將,将,将
1064,江,江,江,江
1065,教,教,教,教
1066,交,交,交,交
1067,角,角,角,角
1068,叫,叫,叫,叫
1069,节,節,节,節
1070,结,結,结,結
1071,解,解,解,解
1072,界,界,界,界
1073,今,今,今,今
1074,金,金,金,金
1075,紧,緊,紧,緊
1076,进,進,进,進
1077,近,近,近,近
1078,京,京,京,京
1079,经,經,经,経
1080,精,精,精,精
1081,九,九,九,九
1082,就,就,就,就
1083,旧,舊,旧,旧
1084,军,軍,军,軍
1085,开,開,开,開
1086,看,看,看,看
1087,科,科,科,科
1088,可,可,可,可
1089,客,客,客,客
1090,课,課,课,課
1091,空,空,空,空
1092,口,口,口,口
1093,苦,苦,苦,苦
1094,快,快,快,快
1095,拉,拉,拉,拉
1096,来,來,来,来
1097,老,老,老,老
1098,乐,樂,乐,楽
1099,了,了,了,了
1100,类,類,类,類
1101,里,裏,里,裏
1102,力,力,力,力
1103,立,立,立,立
1104,利,利,利,利
1105,例,例,例,例
1106,联,聯,联,聯
1107,连,連,连,連
1108,两,兩,两,両
1109,量,量,量,量
1110,了,了,了,了
1111,林,林,林,林
1112,领,領,领,領
1113,令,令,令,令
1114,流,流,流,流
1115,六,六,六,六
1116,龙,龍,龙,竜
1117,路,路,路,路
1118,论,論,论,論
1119,妈,媽,妈,媽
1120,马,馬,马,馬
1121,吗,嗎,吗,嗎
1122,买,買,买,買
1123,满,滿,满,満
1124,么,麼,么,麼
1125,没,沒,没,没
1126,每,每,每,每
1127,门,門,门,門
1128,们,們,们,們
1129,米,米,米,米
1130,面,面,面,面
1131,民,民,民,民
1132,名,名,名,名
1133,明,明,明,明
1134,目,目,目,目
1135,那,那,那,那
1136,难,難,难,難
1137,你,你,你,你
1138,年,年,年,年
1139,念,念,念,念
1140,牛,牛,牛,牛
1141,农,農,农,農
1142,女,女,女,女
1143,跑,跑,跑,跑
1144,朋,朋,朋,朋
1145,皮,皮,皮,皮
1146,片,片,片,片
1147,品,品,品,品
1148,平,平,平,平
1149,七,七,七,七
1150,期,期,期,期
1151,起,起,起,起
1152,气,氣,气,気
1153,千,千,千,千
1154,前,前,前,前
1155,钱,錢,钱,銭
1156,强,強,强,強
1157,且,且,且,且
1158,亲,親,亲,親
1159,青,青,青,青
1160,清,清,清,清
1161,情,情,情,情
1162,秋,秋,秋,秋
1163,去,去,去,去
1164,全,全,全,全
1165,然,然,然,然
1166,让,讓,让,譲
1167,人,人,人,人
1168,任,任,任,任
1169,日,日,日,日
1170,容,容,容,容
1171,如,如,如,如
1172,三,三,三,三
1173,色,色,色,色
1174,山,山,山,山
1175,上,上,上,上
1176,少,少,少,少
1177,社,社,社,社
1178,设,設,设,設
1179,身,身,身,身
1180,什,什,什,什
1181,生,生,生,生
1182,师,師,师,師
1183,十,十,十,十
1184,什,什,什,什
1185,时,時,时,時
1186,识,識,识,識
1187,实,實,实,実
1188,食,食,食,食
1189,史,史,史,史
1190,使,使,使,使
1191,世,世,世,世
1192,事,事,事,事
1193,是,是,是,是
1194,市,市,市,市
1195,示,示,示,示
1196,式,式,式,式
1197,事,事,事,事
1198,室,室,室,室
1199,手,手,手,手
1200,首,首,首,首
1201,受,受,受,受
1202,书,書,书,書
1203,术,術,术,術
1204,数,數,数,数
1205,树,樹,树,樹
1206,双,雙,双,双
1207,水,水,水,水
1208,说,說,说,説
1209,思,思,思,思
1210,司,司,司,司
1211,四,四,四,四
1212,送,送,送,送
1213,诉,訴,诉,訴
1214,速,速,速,速
1215,岁,歲,岁,歳
1216,他,他,他,他
1217,它,它,它,它
1218,太,太,太,太
1219,提,提,提,提
1220,体,體,体,体
1221,天,天,天,天
1222,条,條,条,条
1223,听,聽,听,聴
1224,通,通,通,通
1225,同,同,同,同
1226,头,頭,头,頭
1227,土,土,土,土
1228,外,外,外,外
1229,完,完,完,完
1230,万,萬,万,万
1231,王,王,王,王
1232,网,網,网,網
1233,为,為,为,為
1234,位,位,位,位
1235,文,文,文,文
1236,我,我,我,我
1237,无,無,无,無
1238,五,五,五,五
1239,西,西,西,西
1240,习,習,习,習
1241,系,系統,系,系
1242,下,下,下,下
1243,先,先,先,先
1244,现,現,现,現
1245,相,相,相,相
1246,想,想,想,想
1247,向,向,向,向
1248,象,象,象,象
1249,小,小,小,小
1250,校,校,校,校
1251,些,些,些,些
1252,写,寫,写,写
1253,谢,謝,谢,謝
1254,心,心,心,心
1255,新,新,新,新
1256,信,信,信,信
1257,兴,興,兴,興
1258,星,星,星,星
1259,行,行,行,行
1260,形,形,形,形
1261,性,性,性,性
1262,休,休,休,休
1263,须,須,须,須
1264,学,學,学,学
1265,言,言,言,言
1266,研,研,研,研
1267,阳,陽,阳,陽
1268,样,樣,样,様
1269,要,要,要,要
1270,也,也,也,也
1271,业,業,业,業
1272,页,頁,页,頁
1273,一,一,一,一
1274,医,醫,医,医
1275,已,已,已,已
1276,以,以,以,以
1277,意,意,意,意
1278,义,義,义,義
1279,因,因,因,因
1280,阴,陰,阴,陰
1281,应,應,应,応
1282,用,用,用,用
1283,由,由,由,由
1284,有,有,有,有
1285,又,又,又,又
1286,于,於,于,於
1287,鱼,魚,鱼,魚
